user_id,username,email,age,gender,registration_date,last_login_time,session_duration_seconds,ip_address,device_type,os,browser,country,is_fraudulent
sdv-id-XtiPNI,amber62,srios@example.org,57,Other,2022-03-19 01:27:50,2025-06-10 21:22:51,76,990f:d2c9:8010:af6:3250:237c:297a:6815,Tablet,Linux,Edge,Estonia,Yes
sdv-id-HSzRLI,esteschristine,brian11@example.org,80,Female,2023-02-16 13:45:13,2025-06-01 18:17:31,8453,374d:6764:464b:a569:9f36:d151:105f:87f7,Mobile,macOS,Chrome,South Georgia and the South Sandwich Islands,No
sdv-id-IyHMzt,ksharp,richardsonjennifer@example.com,40,Male,2022-02-21 08:41:56,2025-06-07 16:35:00,1767,3a82:da01:8367:2d9e:eb4e:3c1:e754:23b1,Tablet,iOS,Firefox,Lebanon,Yes
sdv-id-zTVHIv,reyestimothy,awiggins@example.com,43,Male,2021-09-20 23:53:19,2025-06-03 13:11:39,8735,c446:3f0c:1df5:c3ed:f096:23a4:7f54:64da,Mobile,iOS,Safari,Malawi,Yes
sdv-id-nMaqSW,diazjennifer,gburns@example.net,83,Male,2020-02-18 15:06:55,2025-06-05 00:34:01,4200,8ec1:9ee:868f:9379:7b99:c13e:ed16:9a03,Tablet,Windows,Other,China,Yes
sdv-id-BIVehB,teresacruz,matthew94@example.net,81,Female,2023-11-25 02:13:12,2025-06-04 15:43:29,3048,5830:338f:583e:8a6a:3364:29cb:c355:2a0b,Other,Linux,Safari,Thailand,Yes
sdv-id-BgOxXJ,esteschristine,shawn39@example.com,75,Female,2020-01-12 01:07:11,2025-06-05 05:05:33,9035,a64b:39c5:ed1d:accc:7eb2:340f:16ca:bd7b,Mobile,Linux,Safari,Nicaragua,Yes
sdv-id-RbvOUU,todd32,virginia11@example.org,57,Female,2022-07-27 05:35:38,2025-06-03 22:00:41,4418,da23:78e:4952:30ad:79f5:cf08:679a:1b28,Tablet,macOS,Safari,Mayotte,Yes
sdv-id-JBsXpP,jjuarez,zvaughn@example.com,76,Female,2022-06-15 03:47:49,2025-06-04 16:02:52,4736,ef64:ca20:44ff:ee4e:824f:fe73:dbb1:bf76,Other,Android,Safari,Macao,No
sdv-id-XlhVrI,james47,iperry@example.net,57,Male,2021-03-24 03:48:57,2025-06-07 17:07:04,1187,a97d:f1d9:4a42:4bd6:5316:eda:f230:178a,Tablet,Windows,Edge,France,Yes
sdv-id-RQeLlo,webblaura,smithtimothy@example.net,78,Female,2023-10-21 10:57:41,2025-06-09 09:28:03,2669,e3d8:b8df:7f5a:2ac:9982:93bf:647a:3,Tablet,Windows,Safari,Mauritius,No
sdv-id-mApjwl,brittanyschwartz,mannian@example.net,99,Male,2020-01-12 01:07:11,2025-06-05 17:12:08,1701,a011:e50f:c27c:e02b:cb6f:ba01:2b53:fa7d,Desktop,Linux,Opera,Philippines,Yes
sdv-id-dHpAVB,hannah02,xsilva@example.net,35,Male,2022-03-25 15:03:03,2025-06-01 00:03:06,6678,4dae:4a0d:cc7:3688:884:baf2:3d8d:6214,Tablet,Other,Opera,Mexico,No
sdv-id-kgjUNZ,georgebaker,andrewyu@example.com,79,Other,2024-07-23 08:09:24,2025-06-06 22:36:52,7999,a89d:e5cc:3a0b:5084:dfc2:97d:adcd:9ec7,Mobile,Android,Firefox,France,Yes
sdv-id-LvjXJE,danielwhite,robert02@example.org,68,Male,2020-01-12 01:07:11,2025-06-04 13:55:15,1292,7adb:30ed:22a3:5402:af57:eabd:5ae3:9155,Desktop,iOS,Chrome,Marshall Islands,No
sdv-id-ikrzmn,mclaughlincorey,blanchardcaleb@example.com,99,Male,2021-07-27 07:31:47,2025-06-05 12:36:52,9871,693f:b089:a063:dc04:3af9:72c1:7324:e4a3,Tablet,macOS,Chrome,Greenland,Yes
sdv-id-uTGeyb,jimmy14,rogerswilliam@example.org,53,Other,2022-03-29 07:30:06,2025-06-08 07:27:25,5502,3902:515:4250:ccb9:9559:66fd:c70f:c7af,Tablet,Android,Chrome,Yemen,No
sdv-id-luxjXN,kelly13,bjones@example.org,21,Male,2021-03-03 06:00:28,2025-06-06 14:34:13,9871,bbe8:a569:7202:2720:8a7:318f:6cf4:a8e1,Tablet,Windows,Other,Guatemala,No
sdv-id-Fiybim,william58,lance25@example.net,99,Male,2025-03-11 20:54:51,2025-06-10 21:22:51,1597,8e7e:6234:cf8c:6c34:1b13:ed53:938a:c6a9,Desktop,Android,Chrome,Anguilla,Yes
sdv-id-xkpGYH,frederick63,xpoole@example.net,68,Other,2025-05-30 14:37:36,2025-06-07 16:18:31,3706,c77c:975c:a644:6a3f:80d4:3026:5e79:1e2b,Mobile,Linux,Firefox,South Georgia and the South Sandwich Islands,Yes
sdv-id-AtzfvA,christopherholloway,jeffrey91@example.com,70,Male,2024-08-28 23:15:51,2025-06-08 19:05:34,3024,b4b8:2be5:3ea6:95be:f3b8:cb16:7275:2fcf,Desktop,macOS,Edge,Montserrat,No
sdv-id-rmETRt,candicesmith,jessica87@example.net,58,Other,2021-11-26 13:44:06,2025-06-08 06:15:19,3404,33a9:6c73:83c5:aa23:fbc8:c946:3b2e:bcdc,Tablet,iOS,Edge,British Virgin Islands,No
sdv-id-NHnFeB,brownbrandy,ffitzpatrick@example.com,3,Other,2024-03-20 22:00:38,2025-06-10 21:22:51,6400,684d:a868:2ea3:6d05:ec69:26a5:5b3f:7911,Desktop,iOS,Opera,Brazil,No
sdv-id-YCicGI,james47,brenda65@example.org,32,Male,2025-05-30 14:37:36,2025-06-06 00:53:00,76,9f3c:f166:d905:aa6a:d982:d895:ec62:47be,Other,Android,Other,Niger,No
sdv-id-lnGemz,smithdarrell,tuckerjohn@example.com,99,Male,2022-05-15 20:52:24,2025-06-10 01:46:07,4656,415f:f5c0:39:a7d2:7aae:12cc:e47a:d5cf,Other,Android,Edge,Australia,Yes
sdv-id-pVPFux,mcampbell,christopher19@example.net,86,Male,2023-02-23 20:27:43,2025-06-07 21:02:22,9030,7e09:402e:7593:5e5c:80db:5abf:3dbe:c5ba,Desktop,Android,Firefox,Cyprus,Yes
sdv-id-FsKInU,brownbrandy,charlotte15@example.org,0,Male,2023-07-17 04:37:13,2025-06-02 23:05:50,6395,19e0:189c:6646:bad8:1279:dfc:506:2b69,Tablet,Windows,Chrome,Libyan Arab Jamahiriya,No
sdv-id-juFfyi,baileystephen,holsen@example.net,99,Male,2022-01-02 23:26:23,2025-06-06 07:35:33,6148,33bd:d4ca:f368:a1f1:bf36:fb06:d85f:7630,Tablet,iOS,Firefox,Iraq,Yes
sdv-id-bnxiEL,patriciabowen,edwardsjeffrey@example.org,84,Female,2025-05-30 14:37:36,2025-06-10 21:22:51,8982,c607:c581:571e:9900:8dac:5c4d:1e61:e49b,Desktop,iOS,Other,Czech Republic,Yes
sdv-id-ocSloC,anthony51,tracibender@example.com,99,Male,2023-10-16 14:27:38,2025-06-10 21:22:51,7422,7a60:a2ca:4a28:1d07:1819:d56b:b1ea:48dc,Tablet,Android,Safari,Mozambique,Yes
sdv-id-MGTalz,brendahahn,joshua86@example.org,81,Other,2024-03-02 16:47:13,2025-06-04 15:12:43,6023,cb59:3b80:d864:1eec:550a:a592:731e:d129,Desktop,macOS,Safari,Iceland,No
sdv-id-achfqq,ganderson,adamwilliams@example.net,99,Other,2021-08-17 21:29:56,2025-06-02 22:54:14,4393,9c36:568b:c5b9:afd5:db70:527a:9a06:bcb1,Desktop,Other,Other,British Virgin Islands,Yes
sdv-id-KcaVtU,joshuapowell,thomas00@example.net,60,Male,2023-05-17 16:46:14,2025-06-08 00:03:57,1594,2708:bd7c:8ce1:c68c:f0fd:e4a4:3861:1cb8,Other,Other,Other,Korea,Yes
sdv-id-fhdXLt,bradshawalyssa,james61@example.com,85,Female,2022-06-19 09:45:39,2025-06-03 03:44:42,2457,456f:67c5:551b:3cfe:224c:4fdc:9e6a:5cf3,Tablet,Linux,Edge,Mauritius,No
sdv-id-TjogNj,campbellalicia,johnnysalazar@example.org,99,Male,2022-05-27 10:39:03,2025-06-05 03:53:09,1310,a5b9:a81b:fe3:41bc:a7ea:818d:fa75:8a3,Tablet,iOS,Safari,Czech Republic,Yes
