user_id,username,email,age,gender,registration_date,last_login_time,session_duration_seconds,ip_address,device_type,os,browser,country,is_fraudulent
user_001,amber62,carriemckenzie@example.net,1,Other,2020-12-28 18:10:02,2025-06-07 12:32:37,5206,220.41.57.164,Other,Linux,Edge,China,Yes
user_002,jmcdonald,cortezjessica@example.com,11,Female,2021-08-28 21:27:52,2025-06-07 11:15:18,2910,16.113.7.131,Desktop,Other,Other,Ethiopia,Yes
user_003,stevensgary,eric56@example.org,6,Other,2025-03-02 03:39:50,2025-06-06 08:58:55,3101,73.44.50.188,Other,Android,Opera,Zambia,No
user_004,perezamber,trobbins@example.com,10,Male,2024-01-09 15:56:47,2025-06-05 23:58:12,9871,213.42.195.242,Tablet,Android,Chrome,Switzerland,Yes
user_005,fitzgeraldangela,rgreene@example.org,22,Other,2021-08-12 21:54:13,2025-06-04 09:38:38,6605,5.8.147.206,Tablet,iOS,Chrome,British Virgin Islands,Yes
user_006,emily98,gnguyen@example.net,22,Male,2021-06-30 00:31:52,2025-06-04 17:05:18,2432,102.46.78.163,Desktop,Android,Chrome,Saint Helena,No
user_007,adamskathryn,flane@example.org,67,Female,2021-10-28 13:48:04,2025-06-04 07:57:07,6917,135.169.233.15,Desktop,macOS,Edge,Saint Lucia,No
user_008,katrina30,jordanfreeman@example.net,44,Male,2022-05-30 17:59:00,2025-06-01 04:55:33,8073,37.34.65.10,Desktop,iOS,Opera,Yemen,Yes
user_009,natalie51,payneashley@example.org,22,Other,2021-02-07 01:14:29,2025-06-01 01:06:19,6971,190.33.245.155,Desktop,Windows,Other,Finland,No
user_010,diane38,marystout@example.org,95,Female,2023-01-26 11:13:21,2025-06-09 15:02:50,5653,129.82.240.204,Other,macOS,Safari,French Guiana,Yes
user_011,michael10,rhughes@example.com,17,Female,2023-11-26 17:57:03,2025-06-05 07:45:08,5803,79.50.92.247,Other,Windows,Opera,Costa Rica,Yes
user_012,williamswhitney,fullervalerie@example.net,29,Other,2024-03-20 01:42:10,2025-06-04 03:12:12,7990,185.103.133.182,Desktop,Other,Other,Chile,No
user_013,bcoleman,emilyjohnson@example.org,78,Male,2023-05-10 17:12:17,2025-06-07 15:13:16,5747,38.49.186.31,Other,Android,Safari,Anguilla,Yes
user_014,hknight,sergio53@example.net,47,Male,2020-10-08 14:04:27,2025-06-02 18:39:46,5014,188.190.195.47,Other,Windows,Edge,Kyrgyz Republic,No
user_015,jameskim,juan00@example.org,34,Other,2021-07-19 15:48:33,2025-06-04 16:11:10,473,151.81.181.66,Tablet,Linux,Chrome,Northern Mariana Islands,No
user_016,gperez,glassjames@example.org,22,Female,2022-07-05 07:33:11,2025-06-05 16:43:08,3097,167.161.98.178,Tablet,iOS,Edge,Swaziland,No
user_017,wanda59,daniellegardner@example.org,63,Other,2020-07-27 15:13:23,2025-06-07 09:03:32,2948,118.72.16.150,Other,Windows,Chrome,Libyan Arab Jamahiriya,No
user_018,hornalyssa,joseph04@example.net,64,Other,2020-10-18 06:16:02,2025-06-01 18:16:33,1546,6.109.210.196,Other,iOS,Opera,Iran,Yes
user_019,williamsmisty,glennshaffer@example.com,63,Other,2021-08-21 12:10:48,2025-06-02 12:05:06,4553,44.25.219.120,Tablet,Windows,Safari,Bahrain,No
